saddr,udp_pkt_size
62.75.142.123,81
204.74.115.70,230
209.124.67.7,115
193.227.117.81,38
194.145.209.125,150
192.230.116.85,38
65.22.215.170,74
92.222.159.108,101
80.74.144.108,81
81.93.61.123,81
132.199.3.149,38
62.210.131.50,64
82.194.67.94,81
81.25.151.8,74
85.254.114.177,38
212.69.37.46,150
188.241.25.1,20
92.243.18.193,84
167.172.58.10,97
85.153.106.49,38
45.223.20.128,38
91.222.238.6,150
178.20.216.189,150
81.31.159.66,20
195.167.105.110,20
31.204.66.59,84
5.39.114.127,99
217.182.150.87,85
62.69.71.204,38
185.46.10.104,64
195.175.39.69,52
51.83.187.36,105
83.169.2.96,55
91.121.218.164,114
185.52.230.55,97
8.8.8.8,38
138.201.249.52,55
107.154.236.137,38
137.163.11.161,38
62.94.75.179,58
185.255.131.184,150
86.123.233.106,63
178.73.238.92,84
148.251.248.54,93
82.202.160.135,105
51.254.12.13,81
89.26.253.200,114
45.91.67.23,150
54.39.12.90,38
197.203.87.249,85
95.111.244.86,81
194.163.72.4,85
107.154.141.207,38
195.228.75.150,81
164.132.112.71,150
185.159.198.232,62
136.243.176.33,114
82.205.2.142,80
50.116.75.23,104
77.241.80.3,63
217.243.122.189,86
176.235.247.229,105
95.216.228.138,150
105.107.59.176,38
149.202.56.171,81
46.4.152.33,81
178.211.56.14,97
34.237.20.25,38
18.198.194.100,150
85.11.180.107,38
91.226.92.35,150
185.84.180.209,114
72.69.237.141,105
79.143.29.92,114
45.247.201.17,38
209.126.127.21,150
137.163.63.90,38
89.204.214.203,20
176.162.240.24,65
137.74.217.123,81
169.45.145.171,81
51.195.183.156,81
217.21.59.114,60
192.185.71.116,99
139.162.246.156,150
209.206.21.108,38
148.251.26.129,93
35.208.39.237,58
31.148.242.52,99
156.225.52.151,38
87.129.122.187,86
91.121.90.180,102
62.31.21.5,107
88.99.114.32,105
212.162.12.33,141
70.40.6.29,83
114.66.187.235,38
162.241.192.134,114
155.254.28.211,150
78.138.109.117,38
94.159.32.234,104
37.131.208.176,38
107.189.12.113,107
212.236.89.243,38
197.162.215.206,38
23.95.0.17,86
68.66.230.148,114
156.255.237.33,38
5.88.5.222,88
72.136.196.28,59
105.110.9.220,38
194.67.219.220,104
76.169.207.26,63
185.170.239.190,20
91.202.27.196,20
195.25.57.202,63
67.222.99.23,114
185.177.152.122,81
69.27.46.57,115
185.98.131.181,91
45.189.58.45,20
5.181.177.145,38
185.183.28.228,58
105.109.236.240,38
185.45.67.166,114
94.51.88.242,87
178.33.165.233,81
93.35.54.39,113
141.95.139.22,114
85.235.134.143,69
217.182.237.97,81
50.31.75.135,101
38.202.54.194,38
167.114.149.249,103
162.144.38.170,104
73.6.9.48,38
31.208.195.22,124
70.32.20.158,115
3.215.167.250,64
209.160.96.130,114
193.106.132.16,20
156.253.121.231,38
75.101.19.194,60
87.129.122.82,86
188.124.1.170,97
213.74.69.18,20
2.95.17.71,20
45.76.84.127,81
31.210.6.70,38
82.223.206.86,97
105.107.71.180,38
192.198.119.235,38
195.191.164.6,102
185.182.57.21,84
89.207.44.137,38
178.233.140.109,85
156.254.214.126,38
174.136.59.126,114
192.232.224.23,101
121.242.155.206,20
172.107.22.103,104
103.157.97.52,38
69.63.141.36,38
156.254.208.224,38
173.48.0.34,38
45.38.69.210,114
52.117.46.250,114
192.185.100.71,104
170.70.225.130,38
91.238.161.110,150
156.225.50.89,38
204.74.101.242,230
13.95.21.179,38
164.68.96.224,114
45.132.85.31,105
103.131.190.189,38
66.180.152.174,38
216.10.15.203,38
213.59.123.112,114
216.83.55.239,38
45.13.236.140,38
91.219.210.165,38
106.51.65.123,20
194.219.5.157,59
34.90.41.15,86
162.216.67.127,38
46.221.5.115,20
176.126.203.96,114
208.91.198.183,114
209.44.124.80,114
46.4.158.69,114
46.105.37.166,103
23.80.35.21,114
107.154.177.18,38
156.224.115.205,38
43.251.107.137,38
185.170.67.137,104
46.248.182.191,104
156.241.47.82,38
82.223.91.51,97
82.209.251.195,38
92.118.39.203,38
89.43.66.150,150
89.108.83.50,150
196.245.53.238,104
105.107.10.31,38
85.93.93.57,69
191.238.113.225,38
213.109.163.102,97
184.26.161.129,58
173.233.73.215,114
46.243.78.189,38
193.64.172.62,38
185.244.147.54,150
105.99.194.168,85
5.75.91.22,38
69.54.252.171,38
35.213.130.101,58
45.60.78.243,38
167.172.26.227,97
164.132.104.96,81
195.168.126.142,56
201.55.214.4,81
46.29.49.92,105
194.195.26.98,38
52.204.22.228,86
154.56.135.69,69
38.202.3.126,20
114.66.172.240,38
185.193.36.193,38
91.134.148.99,114
156.255.39.30,38
45.82.247.234,38
194.254.113.243,38
5.181.108.99,102
207.148.79.16,81
82.165.142.137,81
185.156.216.69,114
103.217.93.20,114
45.157.169.233,38
201.222.80.50,20
150.95.30.140,69
107.154.36.8,38
2.191.122.73,54
43.229.134.56,72
193.124.185.196,104
109.120.249.8,38
137.163.63.40,38
146.59.78.74,114
50.25.99.83,63
103.242.191.185,58
138.255.23.193,38
212.140.154.191,63
216.118.88.71,114
128.0.41.103,150
177.11.55.218,38
173.211.8.229,38
173.211.74.186,38
92.46.184.66,124
105.107.15.253,38
107.154.217.58,38
156.255.219.18,38
144.217.61.68,81
217.172.122.155,38
46.30.44.129,87
46.100.167.19,38
96.125.172.41,85
143.137.229.38,59
188.159.40.130,102
156.241.34.227,38
2.178.203.69,98
194.14.207.171,107
161.97.109.231,38
218.98.85.46,38
88.119.200.20,20
89.106.206.118,105
195.138.104.174,38
59.41.187.229,63
115.48.192.26,63
1.33.189.84,72
103.105.101.217,20
176.162.55.85,65
213.192.241.60,81
81.161.126.8,86
174.4.195.50,20
43.92.130.232,60
154.207.57.79,38
23.235.182.36,38
194.233.249.249,38
93.61.145.95,113
156.225.36.237,38
95.111.225.247,150
187.72.6.102,38
156.234.162.66,38
51.161.59.155,20
191.182.202.59,20
173.184.136.214,59
209.206.18.51,38
173.198.251.98,114
173.233.81.82,114
5.219.154.19,38
192.232.206.173,104
125.167.132.203,38
78.46.229.210,55
205.186.152.23,114
95.71.71.32,38
5.61.50.244,114
177.11.55.66,150
192.185.10.206,38
52.188.58.126,38
153.122.115.11,81
217.172.182.85,81
77.111.114.41,99
84.200.32.90,38
153.246.83.165,38
75.170.36.123,97
154.83.178.178,38
188.166.220.0,97
188.95.114.234,81
114.66.228.123,38
62.149.26.85,94
168.195.77.39,38
194.67.211.119,104
103.72.78.146,150
84.200.194.75,38
87.229.103.131,114
84.15.50.2,38
139.180.209.211,114
202.29.22.24,64
193.163.148.55,38
1.1.1.1,38
50.87.43.82,114
167.86.115.109,160
45.60.118.43,38
154.16.115.6,150
178.89.128.164,38
151.253.93.177,65
60.31.16.149,38
114.249.28.155,89
31.207.38.36,84
129.121.195.22,88
202.150.138.11,20
194.87.181.16,38
164.132.12.84,81
105.104.84.6,38
209.42.192.179,114
182.58.166.240,38
5.39.40.145,81
134.35.181.136,109
65.22.19.159,74
207.7.89.39,118
156.234.217.77,38
46.20.102.3,61
156.253.73.56,38
31.185.104.157,65
156.226.227.162,38
153.122.179.23,99
80.85.143.143,85
45.241.199.113,38
89.46.101.155,61
50.116.71.239,114
91.242.173.33,38
98.179.108.8,63
137.163.225.211,38
45.94.158.56,114
115.238.66.253,64
156.255.228.168,38
111.160.15.90,64
23.60.169.14,59
138.97.157.237,38
122.239.190.180,20
45.60.162.236,38
83.172.129.213,81
85.190.240.182,86
5.35.248.197,81
184.51.12.38,59
5.235.97.108,98
70.32.66.70,81
164.90.143.19,38
162.240.31.126,150
98.220.222.239,60
51.159.66.159,38
180.215.219.45,38
128.199.159.29,87
51.83.194.248,150
107.154.199.245,38
192.194.237.50,38
105.108.133.35,38
45.60.46.64,38
208.67.222.222,38
173.208.45.15,20
198.74.115.48,87
87.121.141.10,81
185.129.18.177,63
62.32.74.202,38
192.230.117.186,38
23.106.59.50,38
188.72.205.221,184
41.221.177.26,38
156.255.229.59,38
45.88.189.95,55
177.70.160.92,20
52.202.155.183,115
162.213.250.95,114
122.228.173.40,38
133.18.128.91,38
91.81.118.147,38
107.154.105.35,38
212.113.165.117,60
78.107.252.249,20
188.150.158.232,63
45.223.179.222,38
41.99.72.243,38
177.229.219.82,20
41.105.217.220,85
160.251.21.249,114
104.116.245.63,59
2.176.179.146,98
179.24.34.95,61
37.97.231.178,81
91.226.110.49,70
94.70.254.32,38
185.236.104.104,38
159.203.58.2,55
188.120.239.113,114
100.24.200.247,150
41.99.53.145,38
75.98.169.162,100
64.235.229.114,114
194.26.134.114,87
189.240.241.94,20
194.146.226.32,99
202.142.221.137,99
23.55.63.190,60
193.42.61.181,38
182.59.164.178,38
197.203.150.190,38
103.238.224.122,92
183.142.200.201,63
185.140.180.205,114
162.214.215.162,150
12.184.204.66,52
5.135.9.189,150
23.54.165.24,59
185.226.104.45,114
107.154.132.62,38
20.88.226.18,63
5.234.119.61,87
50.87.146.46,104
185.87.195.216,87
35.206.120.221,58
218.216.64.118,38
162.214.192.156,150
38.145.88.21,38
61.193.140.18,38
161.232.11.44,74
45.60.249.239,38
200.79.181.87,81
173.198.224.115,114
156.226.235.0,38
101.53.154.141,38
219.247.218.104,85
68.66.214.185,114
43.156.230.201,64
36.138.93.50,20
114.242.117.41,63
38.97.152.4,87
93.165.155.181,63
154.210.194.150,38
34.232.137.37,114
135.181.85.212,38
35.214.226.200,58
218.253.21.35,114
51.75.255.136,81
147.135.95.130,58
5.135.14.134,107
199.250.209.133,114
181.113.61.211,86
217.61.106.176,38
103.160.12.48,20
184.174.56.154,38
142.234.117.155,38
121.132.198.75,73
50.87.47.36,114
154.239.1.75,20
81.196.55.197,84
27.74.8.190,20
45.124.87.16,114
176.122.26.205,86
13.250.226.42,55
89.188.109.194,73
212.217.40.5,81
162.218.145.60,63
172.96.176.115,94
23.88.24.9,55
106.39.56.194,104
82.145.44.190,38
186.50.17.255,61
31.59.206.69,38
160.20.146.109,150
107.154.86.32,38
45.60.181.155,38
110.87.26.83,60
94.50.228.95,38
45.56.222.87,114
199.127.45.38,87
178.32.76.196,84
51.83.95.180,55
156.253.112.182,38
88.202.179.229,114
2.186.166.160,98
107.155.122.34,38
113.173.156.211,38
125.212.211.135,104
185.179.25.219,81
123.168.130.215,63
41.97.141.29,38
187.17.138.42,38
209.216.88.75,74
209.124.86.84,114
41.227.215.22,124
