saddr udp_pkt_size
121.188.194.18 582
113.231.128.234 2062
175.207.207.35 1673
222.103.177.239 1674
194.160.249.29 2167
223.204.98.5 978
147.142.215.241 891
128.206.143.98 520
116.97.225.10 3014
182.136.8.30 1638
91.224.133.151 1704
113.160.100.198 891
118.44.223.83 681
122.187.227.223 835
58.153.200.108 754
178.150.8.69 835
112.167.156.129 681
166.142.150.77 1142
42.7.176.157 2062
175.205.250.40 681
49.159.84.30 1747
75.164.37.211 58
189.146.242.128 571
123.193.72.85 1247
113.177.254.169 835
76.75.56.6 58
201.77.118.231 2821
58.143.11.44 681
175.172.86.150 2157
84.43.176.146 1281
175.212.48.193 1975
125.135.83.164 2413
112.186.148.237 582
173.12.148.34 571
42.118.201.167 27758
117.2.236.227 2062
137.118.138.73 58
13.36.235.90 26
166.145.213.40 746
187.147.10.196 835
50.223.130.89 13
150.254.88.98 824
0.0.0.0 308
50.204.219.231 13
49.174.23.236 2413
166.130.149.55 571
47.34.213.144 2413
64.20.31.109 481
128.111.246.31 824
74.210.243.36 1638
216.228.22.37 681
3.104.117.254 26
193.49.33.209 891
163.20.2.34 876
13.250.231.26 26
124.46.201.231 681
42.230.217.204 2062
223.200.3.217 978
96.71.206.164 681
37.10.168.180 891
85.12.230.104 2014
220.82.97.22 582
104.52.148.77 3051
121.144.97.52 681
195.239.155.70 571
65.255.148.9 58
113.183.82.215 835
31.161.251.98 58
191.205.6.190 58
114.35.215.198 3014
118.39.251.176 1673
3.127.21.220 26
213.71.176.242 13
152.243.173.116 1278
119.114.240.203 2062
66.30.191.172 891
202.39.134.151 1010
67.59.100.241 0
15.152.36.135 26
211.72.214.172 1010
61.81.70.125 681
221.159.25.109 876
12.21.89.14 2281
86.47.38.131 58
182.96.100.45 650
92.132.34.204 2622
82.120.168.4 520
142.114.105.46 891
73.157.160.146 2413
38.127.212.40 571
166.144.77.67 571
35.182.251.213 26
147.189.144.6 2014
173.10.168.249 571
211.221.5.150 1599
118.168.117.239 58
3.73.162.89 26
216.107.162.108 633
74.82.59.80 768
103.171.240.254 49
13.208.44.243 26
108.46.204.223 681
96.56.255.132 681
61.84.201.53 681
61.173.15.146 876
68.100.238.147 2413
13.245.27.92 26
59.49.248.212 835
24.224.168.130 3051
221.159.71.66 1665
210.124.149.100 2413
118.41.95.3 1670
211.72.214.147 1010
86.120.226.5 979
63.42.110.8 571
218.158.35.250 2413
35.180.11.129 26
110.189.153.195 835
211.225.128.91 1600
42.180.86.79 2062
91.23.37.68 3051
108.75.221.43 681
216.46.39.176 800
171.241.164.4 835
182.76.6.18 58
210.222.130.249 703
1.53.232.198 732
114.157.47.17 681
220.84.80.65 1671
176.87.162.86 58
166.149.67.185 571
14.31.147.222 1124
18.156.197.49 26
91.42.24.182 2414
94.225.25.130 891
212.159.54.89 58
46.229.143.84 1306
104.143.72.18 300
16.170.223.244 26
125.138.189.123 681
210.242.86.217 58
49.175.163.98 582
59.25.54.40 1668
61.85.117.153 681
61.137.234.237 2157
179.24.249.144 1247
175.202.140.186 681
75.65.87.67 1667
14.46.65.46 1010
